cycle,case_id,category,expected_result,actual_rendered_result,verification,steps_status,warning_error_status,duration_ms,status,screenshot_evidence,detail
"1","ARI-0026","arithmetic","11","11","Verification | Verified","visible_1_steps_final_agrees","none_expected","8899","PASS","/storage/emulated/0/Android/data/com.indianservers.aiexplorer/files/solver-cas-ui/cycle-1-evidence/cycle1_ARI-0026_PASS.png","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0027","arithmetic","13","13","Verification | Verified","visible_1_steps_final_agrees","none_expected","5517","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0028","arithmetic","15","15","Verification | Verified","visible_1_steps_final_agrees","none_expected","5151","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0029","arithmetic","10","10","Verification | Verified","visible_1_steps_final_agrees","none_expected","4996","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0030","arithmetic","12","12","Verification | Verified","visible_1_steps_final_agrees","none_expected","5067","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0031","arithmetic","14","14","Verification | Verified","visible_1_steps_final_agrees","none_expected","5348","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0032","arithmetic","16","16","Verification | Verified","visible_1_steps_final_agrees","none_expected","5067","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0033","arithmetic","11","11","Verification | Verified","visible_1_steps_final_agrees","none_expected","4966","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0034","arithmetic","13","13","Verification | Verified","visible_1_steps_final_agrees","none_expected","4915","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0035","arithmetic","15","15","Verification | Verified","visible_1_steps_final_agrees","none_expected","5468","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0036","arithmetic","17","17","Verification | Verified","visible_1_steps_final_agrees","none_expected","5499","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0037","arithmetic","12","12","Verification | Verified","visible_1_steps_final_agrees","none_expected","5064","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0038","arithmetic","14","14","Verification | Verified","visible_1_steps_final_agrees","none_expected","5250","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0039","arithmetic","16","16","Verification | Verified","visible_1_steps_final_agrees","none_expected","5114","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0040","arithmetic","18","18","Verification | Verified","visible_1_steps_final_agrees","none_expected","4869","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0041","arithmetic","13","13","Verification | Verified","visible_1_steps_final_agrees","none_expected","5532","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0042","arithmetic","15","15","Verification | Verified","visible_1_steps_final_agrees","none_expected","5282","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0043","arithmetic","17","17","Verification | Verified","visible_1_steps_final_agrees","none_expected","4848","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0044","arithmetic","19","19","Verification | Verified","visible_1_steps_final_agrees","none_expected","5583","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0045","arithmetic","14","14","Verification | Verified","visible_1_steps_final_agrees","none_expected","8935","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0046","arithmetic","16","16","Verification | Verified","visible_1_steps_final_agrees","none_expected","5280","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0047","arithmetic","18","18","Verification | Verified","visible_1_steps_final_agrees","none_expected","5383","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0048","arithmetic","20","20","Verification | Verified","visible_1_steps_final_agrees","none_expected","6150","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0049","arithmetic","15","15","Verification | Verified","visible_1_steps_final_agrees","none_expected","6882","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0050","arithmetic","17","17","Verification | Verified","visible_1_steps_final_agrees","none_expected","5719","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
