cycle,case_id,category,expected_result,actual_rendered_result,verification,steps_status,warning_error_status,duration_ms,status,screenshot_evidence,detail
"1","ARI-0076","arithmetic","27","27","Verification | Verified","visible_1_steps_final_agrees","none_expected","9003","PASS","/storage/emulated/0/Android/data/com.indianservers.aiexplorer/files/solver-cas-ui/cycle-1-evidence/cycle1_ARI-0076_PASS.png","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0077","arithmetic","22","22","Verification | Verified","visible_1_steps_final_agrees","none_expected","6179","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0078","arithmetic","24","24","Verification | Verified","visible_1_steps_final_agrees","none_expected","6098","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0079","arithmetic","26","26","Verification | Verified","visible_1_steps_final_agrees","none_expected","5882","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0080","arithmetic","28","28","Verification | Verified","visible_1_steps_final_agrees","none_expected","5830","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0081","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","5986","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0082","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","6633","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0083","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","6065","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0084","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","6435","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0085","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","6196","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0086","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","6270","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0087","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","6947","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0088","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","8172","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0089","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","10148","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0090","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","13013","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0091","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","10315","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
